seller,sales,location
CustomDesignShopUK,3631,None
CICADA0SNAIL,2500,Beijing China
FlatlineLeather,492,Moncton Canada
RaeGoGoods,558,None
PorchlightCoffee,1683,Seattle Washington
PrviZvuk,19,Karlovac Croatia
harpdude1,1650,None
CoralFlamingo,119,Melbourne Australia
UkuleleStudio,172,Omaha Nebraska
WillisMountain,352,Franklin Tennessee
ErinsOboeReeds,588,San Antonio Texas
RoseReeds,2059,None
VitalSignsNW,8630,Winston Oregon
MengQiMusic,1044,None
AllCustomGifts,7939,Rockledge Florida
PickslaysWoodworking,22818,Winona Lake Indiana
GiddyupRescue,1206,Cleveland Missouri
GussiesEmporium,1503,Colorado Springs Colorado
LampenTuner,49  on Etsy,Verden an der Aller Germany
VintageCopperAndMore,2411,San Diego California
SilverliningByTravis,3538,York Pennsylvania
DTVintage,307,None
TreasureTimeCapsule,9484,None
LooseChipsWoodWork,1105,Cadiz Kentucky
rhapsodyenmauve,49,London United Kingdom
Guitarrangements,247,None
CindysCozyClutter,1474,Allen Park Michigan
RareBooks,373,Los Angeles California
Woodissimo,1971,None
RustyNailDesign,1314,Hartford Connecticut
TheOldPittsHomestead,564,Los Angeles California
curioscity,3599,None
KingsMusicNBooks,663,Kennebunk Maine
Bellassis,1072,None
TreasuresPlace,172,None
ShadedEden,99,Tulsa Oklahoma
lesaestes,3872,None
WordsandMusicArt,16357,Dallas Texas
julesartstuff,352,None
othersideofyesterday,1485,Eagle Mountain Utah
EarthBalanceTaiChi,48,None
thisoldnest,3465,Columbia Kentucky
9StyleBooks,1238,Goyang-si South Korea
ABGGoodStuff,3944,Rockledge Florida
PrettyLeftovers,752,Puyallup Washington
RustyCurios,2591,Shelburne Falls Massachusetts
TurnAroundRecords,2086,None
Rosecitybooks,434,Portland Oregon
ClassicalCache,252,None
BarnswallowNJ,161,Hasbrouck Heights New Jersey
CollectiblesfromLiz,155,Leander Texas
supersmallfryvintage,706,Placitas New Mexico
SOVOK,1963,Kyiv Ukraine
WikeyArtAndMusic,31,San Jose California
RosiesDesignStudio,28960,Fallbrook California
NinasTreasures2,866,St. Marys Canada
BrowsersBookstore,489,Corvallis Oregon
bellsongs,390,None
RetroSpecial,1854,Granbury Texas
BarnshopAntiques,1334,None
dirtybarnVintage,293,New Bern North Carolina
CinnamonMacAndCheese,136,San Francisco California
DarrellBraunGuitar,11783,None
Hannott,2302,None
Popsplace,364,Lancaster Pennsylvania
CityBeatVintageVinyl,409,Deansboro New York
EclecticRetroLand,4638,None
Oldendesigns,2849,Buffalo New York
OverTheMoonWBGifts,76,West Bend Wisconsin
camillesBOOTH66,519,Pittsburgh Pennsylvania
RdksTreasures,11,None
MontageDecor,1068,Pasadena Maryland
SafaliaRCG,242,Toulouse France
CrossCreekPokeweed,1291,Mt. Dora Florida
houseofheirlooms,526,Salem Oregon
PrimrosePrints,7076,Norwich United Kingdom
MikesHouseOfVinyl,244,Broomfield Colorado
Juniperplusolive,3,None
OurLeftovers,6951,Westminster Colorado
MyVinylCollection,20,Portland Oregon
VintageBlackCatz,1657,Perth Australia
VinylCatRecordsUS,417,Olathe Kansas
BeanzVintiques,556,Kenosha Wisconsin
VeryVintageVera,2196,Macon Georgia
MusicalPipes,5542,Clearfield Utah
AnniesRecords,710,San Antonio Texas
JohnsVintageEmporium,111,LaBelle Florida
CircaCentury,13629,Torrance California
NostalgiaRocks,604,Toledo Ohio
RavenRecordShop,3086,Ossining New York
FinalRestingPlace,178,Pomona California
BettywasaBombshell,733,Tampa Florida
FromDrMikesKitchen,1305,East Falmouth Massachusetts
CrimsonCanaryVintage,267,Wyoming United States
GossGoldenGoose,14,Des Moines Iowa
musicboxtunes,183,Athens Greece
RossenGeorgiev,1498,None
Miggysvinyl,7502,Richmond Virginia
MohawkMusic,3382,Dallas Texas
ParlorPieces,5,Windsor Canada
ShabbyBrocante,2408,Sacramento California
EnjoyingAntiques,947,Grants Pass Oregon
TeaRoseCottage2,520,Post Falls Idaho
VinylJunction,4491,Springfield Missouri
DropTheNeedle,7069,San Francisco California
WhatCheerProvidence,1163,North Providence Rhode Island
MagpieMarysMarket,680,West Lebanon New Hampshire
HazelCatkins,3432,Perry Park Kentucky
TKVintageElectronics,78,Jacksonville Texas
notesfromtheattic,2496,Baltimore Maryland
HuxleyUniques,136,None
AuntysTeeks,1242,Vancouver Washington
VintageInsanity,346,Cottage Grove Oregon
LesCurieux,1969,Montreal Canada
AlexandersAtticVa,27675,Washington D.C.
SPRUCEKNOB,227,None
EnglishGentleman,381,Belper United Kingdom
LaBoutiqueDeMlleJoys,133,Narbonne France
AncestorsTreasures,8,None
OrbitOfNeptune,1011,Lewes United Kingdom
ElevatedWeirdo,12309,Winston-Salem North Carolina
ClutterHouseFinds,205,Muncy Pennsylvania
kaleidoscopetreasure,973,Brooklyn New York
MuddyRiverAntiques,2362,West Fargo North Dakota
GwenniesVintage,1656,Kalamazoo Michigan
PinkFlyingPenguin,249,Stillwater Oklahoma
Borealman,516,Kenora Canada
HandmadeByShinyserra,18,None
BakerStreetBooksShop,50,None
HighwayHitchinPost,1441,Richfield Ohio
MaricopaTradingPost,186,Maricopa Arizona
SunflowerCollections,1219,None
MountainThyme1,3214,Dahlonega Georgia
EphemeraFan,478,Putnam Connecticut
LongBeachMusic,701,None
DaisydoVintage,753,Minneapolis Minnesota
GrowingUpByNelli,31,Dakota Illinois
ocbookshoppe,1024,Monroeville Alabama
DorenesXXOO,1122,Miamisburg Ohio
CoolFindsShoppe,1549,Rancho Cucamonga California
ThestrangeStudio,4,North Logan Utah
TreasureDaze,880,Phoenix Arizona
TheJellyJar,4561,San Antonio Texas
Heydeyjavoo,525,La Grande Oregon
CaddoCreekTraders,33,Dallas Texas
VinylFrontierMusic,113,Glendale California
AudioYoga,124,White Rock Canada
OffbeatThings,125,London Canada
MPCAC,54,None
N2THEATTIC,726,Georgetown Texas
Antqnjwlry,603,Cerritos California
FuzzyIzzys,759,Westfield New Jersey
RicksVintagePlus,1380,Santa Ana California
modernpoetry,1181,Edwardsburg Michigan
babytogs,184,None
VintageOutLoud,939,None
AlysVintageAlcove,1108,Oakville Canada
rarenomore,871,None
NippazWithAttitude,3045,London United Kingdom
CornellTreasures,48,None
WoodlandInspired,355,Williamstown New York
ProfessorBooknoodle,2215,Deansboro New York
StorybookArtifact,217,Tulsa Oklahoma
ButtonsBitsnBaubles,615,Silver Spring Maryland
RRGS,1289,New Lenox Illinois
DeZigns83,32,None
RareBooksShop,9,Haifa Israel
MusicAficionado,103,Pflugerville Texas
blackhillsgeneral,871,Rapid City South Dakota
SuziLovedtoSave,825,None
ArthouseAttic,382,London United Kingdom
AntiqueBells,196,Stockton California
aFarmOfArt,770,Grants Pass Oregon
karen6790,1011,Philadelphia Pennsylvania
uniquemoviesNstuff,1522,Edmonton Canada
KennysAntiques,4319,None
lrobinson,1549,Los Angeles California
Thepapermuseum,1200,None
VioletsandWine,463,None
MaggieMayzFindz,290,St Louis Missouri
EastBaseline,630,Salt Lake Utah
VintagePosterPeople,38,Folkestone United Kingdom
ViolinZirkus,116,None
CroninHouseAntiques,60,Marshall Michigan
KoariaMusic,78,None
VERAsPalm,1355,London United Kingdom
VintageBookworms,2399,Houston Texas
StewvilleVintageShop,617,Louisburg North Carolina
DefiniteMaybe,269,None
ChristysAtticDoor,772,Salt Springs Florida
RandomActsofVintage,197,Dearborn Michigan
555MemoryLane,569,Garden City Michigan
AuntyEntitysVintage,215,Washington D.C.
mrandmrswalkersattic,0,Van Buren Arkansas
HoozeStuff,285,Rochester New York
ProjectsInParenting,34,Chicago Illinois
SueBearsAttic,646,Otis Oregon
SheetMusicFinds,4,Cherry Valley California
Rebekahsretro,1466,Dillsburg Pennsylvania
WeStartedWithAMouse,1005,Elgin Illinois
BeechHomeCo,868,Weaverville North Carolina
RenovationQueen,237,Poplar Bluff Missouri
RedRiverAntiques,15052,Fargo North Dakota
PaperMonkies,1450,Tacoma Washington
RobsHobbies,420,Waco Texas
NothingLikeABook4Me,163,Esperance New York
EarlyGarageSale,1053,Highland Indiana
oldstuffandnonsense,220,Nottingham United Kingdom
ProjectSarafan,866,Dublin Ireland
bythewayside,3117,Crawfordsville Indiana
smileitsvintage,2101,Minneapolis Minnesota
Rememoring,633,Durham North Carolina
Booth88,249,Bardstown Kentucky
ChicEtChoc,2855,Bordeaux France
foundhere,381,Del Norte Colorado
AllAbtVintageAndMore,52,Oak Forest Illinois
AtelierNostalgi,312,Melbourne Australia
FantodManorBooks,2024,Woodburn Oregon
AtticToBasementFinds,804,Jackson Tennessee
3LittleWitches,1290,East Moriches New York
FeeneyFinds,2447,Albany New York
MerlesVintage,6293,San Diego California
CharisScharfMusic,3,None
HandmadeInfatuation,330,Schaumburg Illinois
EandJArtistry,27,Portland Connecticut
MotleyGlamor,18,Francavilla Fontana Italy
BonniesBookShop,104,Yakima Washington
VintageMerchantStore,518,Evans Georgia
SnippetsofTime,1720,Elk Grove California
SomethingGeeshy,2090,Evans Colorado
AmazingGuitarTabs,112,None
VintageAttitudes,526,Gresham Oregon
XinaMusic,3,Duluth Minnesota
Leatherhippo,283,Muskegon Michigan
EmilysAtticThenNow,1262,Jacksonville Florida
RemembrancesofYours,1181,Athens Alabama
RockPaperTreasures,372,None
AntiquesGaloreGal,3074,St Louis Missouri
CastoffTreasures,1615,Grand Haven Michigan
HomesWithHistory,676,None
BasementBoutiqueMall,1419,San Antonio Texas
brooksandthurman,1429,Salem Connecticut
DaysofYoreTreasures,1035,Tatura Australia
vintagetoyshoppe,1226,Logan Utah
sallys4025,953,None
theTRUNKvintage,802,Philadelphia Pennsylvania
crisystreasures,338,Grass Lake Michigan
DayDawnDiscoveries,85,Germantown Tennessee
TailorUponIt,216,None
VintageNEtcetera,404,Madeira Beach Florida
GatherGifts,447,Los Angeles California
DomesticBlissJRC,2026,Mt. Dora Florida
Mountaintique,151,Nathalie Virginia
urbanalpaca,814,Denver Colorado
KilianCellarDoor,858,Bristol United Kingdom
DriftNiceties,1801,Solva United Kingdom
BoiteAMerveilles,196,Saint-Germain-sur-Ay France
ArchivistandCo,245,Paris France
Bookman1962,18,Fairfield Connecticut
pastonvintage,320,None
NanaBarbarastreasure,826,Cheltenham United Kingdom
BoutiqueByDanielle,182,Brighton United Kingdom
jennywebsellers,75,None
BoydUsedRareBooks,406,Portland Oregon
megsbest,19,Moundsville West Virginia
baywindowbooks,177,San Francisco California
DimeStoreTimes,1,Steinbach Canada
AllCuriosities,973,Thousand Oaks California
ALovableJunkster,841,Colorado Springs Colorado
12thStreetDesignsVA,398,None
HollywoodBoulevard,271,None
SwellSource,762,None
TheVioletLemon,72,Cocoa Beach Florida
HansMaestroMusic,33,Los Angeles California
TimeStampVintage,14,Raleigh North Carolina
EveryPicTellsAStory,3353,London Canada
EMMEZTHINGS,372,None
naturegirl22,2845,Bellingham Washington
PortraitsandPresents,2426,Olympia Washington
scandnotes,52,Chesterton Indiana
SandRTradingCo,440,Phoenix Arizona
LoveDoveTrading,8519,None
finleysvintage,520,Lafayette Indiana
Mycousinmorag,1032,Dunfermline United Kingdom
FoxVintageUK,2046,Buckingham United Kingdom
jeromeboutik,37,Beauvais France
AnOzarksGirl,512,Lampe Missouri
tinprincess,1864,Cincinnati Ohio
TovasTreasures,758,North Miami Beach Florida
Sunflowermom,4971,Holland Michigan
SoFestiveShop,4882,Salt Lake Utah
BooksMapsandStuff,1146,Sayville New York
HotelValentine,471,Las Vegas Nevada
OneFairfaxRoad,1567,Los Angeles California
MonacoHandmade,65,Greenwood Indiana
StrollinMemoryLane,663,Vermilion Ohio
GlobalPalazzo,523,Chicago Illinois
TheDustyTome,1337,Dellrose Tennessee
BestMusicStuff,249,None
AllAboutVintageUS,15,Oklahoma City Oklahoma
MushroomMonroe,103,None
GlitteringDragonfly,2717,Wausau Wisconsin
FunkyPoodles,488,Columbia Maryland
IndigoArtisans,3152,Leicester United Kingdom
GoodyBagBoutique,283,Goodyear Arizona
ALEXLITTLETHINGS,3012,Modesto California
hungarianfolkmusic,722,Budapest Hungary
JeansVintageJunk,853,None
JulesetMarguerite,326,Saint-Ilpize France
ackantiques,636,Mystic Connecticut
KentuckyTrader,3229,Colorado Springs Colorado
BeholdAntiques,161,None
HomemadeByHoyt,331,None
FormiaPress,0,None
bookcollector,40,Chadds Ford Pennsylvania
DarqueCrystal,90,Canton New York
KDeuserCreations,36,None
BanditBooks,40,Seattle Washington
MicksVintageBookshop,66,None
KandLTradingCo,324,None
AvasHopeChest,154,Sugar Loaf New York
ColsonsCollectibles,490,Dallas Texas
LouisandRileys,1044,Winnipeg Canada
KaysVintageCards,858,Dormansland United Kingdom
BornBeforeTheBeatles,40,Bellevue Nebraska
ChristinaStudio1,19,Rome Italy
AntiquesNOldies,353,Titusville Florida
LonghairMemories,319,San Miguel California
ADORNbyAmandaYamate,29,Chicago Illinois
VoiceCoachWorld,0,Palma de Mallorca Spain
2KalamazooGypsies,166,Kalamazoo Michigan
VintageMcCoy,201,Camarillo California
LeGrenierdEsmeralda,301,Nogent-sur-Vernisson France
FloridaPickinAndArt,1102,Seffner Florida
FelicesFinds,1095,Middletown New Jersey
Retiredhungarian,4772,Sturgis Michigan
KatiesAngelwings,870,Ruskin Florida
tlgvintageart,1030,San Francisco California
MyEbayShop,1062,Bucyrus Ohio
ShepherdsMountain,13,Elverta California
YesterdaysGaze,249,Athens Greece
SomeWhereVintageIT,8,Rome Italy
SquireSongbooks,0,Fair Lawn New Jersey
RiverRatAntiques,2140,Hermosa South Dakota
monicagilmusic,16,None
BythewaysideXmas,1932,Crawfordsville Indiana
HappyForestVintage,1119,Chicago Illinois
wolfcatsthisandthat,329,Piper City Illinois
CottageontheBluff,833,Anchorage Alaska
Lionfishvintage,1164,San Rafael California
TheFlyingHostess,5738,Charlotte North Carolina
CollectorGoodsToGo,66,None
LaLaLadysLovelies,109,Evans Georgia
RomanticRebellion,10,London United Kingdom
HippityHistory,75,None
AllOverTwisted,101,Pittsburgh Pennsylvania
TransientBooks,4403,None
TurnPikeTreasures,717,St Louis Missouri
GuitarJuice,3,None
AncestralDigs,157,Venice Florida
BolingerAntiques,5135,None
Gibsonbooks,16,Owens Cross Roads Alabama
kyokoscreations,751,Seattle Washington
That70sChickVintage,454,San Diego California
Amberatomic83,5,None
VintageAtlantaFinds,770,Atlanta Georgia
fredsoldstuff,133,Harrisburg Pennsylvania
mudintheUSA,1573,Roseburg North Oregon
oldjunkagain,1088,Hertford North Carolina
autena,1664,Cincinnati Ohio
SecondWindShop,9688,Phoenix Arizona
MyVintageProvence,1070,Saint-Saturnin-lès-Apt France
AuntyEntitysVinyl,128,Washington D.C.
PA484Sales,1626,Boston Massachusetts
MaineSale,377,Norway Maine
Bernadetteskid,153,Newburgh New York
InheritedTraits,2136,Fort Worth Texas
